[18-Feb-2023 16:30:41 UTC] PHP Parse error:  syntax error, unexpected token "}" in /Applications/XAMPP/xamppfiles/htdocs/fictional-university/wp-content/themes/fictional-university-theme/functions.php on line 26
[18-Feb-2023 16:32:45 UTC] PHP Parse error:  syntax error, unexpected token "}" in /Applications/XAMPP/xamppfiles/htdocs/fictional-university/wp-content/themes/fictional-university-theme/functions.php on line 26
[20-Feb-2023 23:45:40 UTC] PHP Notice:  Function is_main_query was called <strong>incorrectly</strong>. In <code>pre_get_posts</code>, use the <code>WP_Query->is_main_query()</code> method, not the <code>is_main_query()</code> function. See https://developer.wordpress.org/reference/functions/is_main_query/. Please see <a href="https://wordpress.org/support/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.7.0.) in /Applications/XAMPP/xamppfiles/htdocs/fictional-university/wp-includes/functions.php on line 5835
[21-Feb-2023 00:37:47 UTC] PHP Parse error:  syntax error, unexpected token "echo", expecting "," or ";" in /Applications/XAMPP/xamppfiles/htdocs/fictional-university/wp-content/themes/fictional-university-theme/single-event.php on line 38
[21-Feb-2023 00:39:26 UTC] PHP Parse error:  syntax error, unexpected token "echo", expecting "," or ";" in /Applications/XAMPP/xamppfiles/htdocs/fictional-university/wp-content/themes/fictional-university-theme/single-event.php on line 38
[21-Feb-2023 00:40:00 UTC] PHP Warning:  foreach() argument must be of type array|object, null given in /Applications/XAMPP/xamppfiles/htdocs/fictional-university/wp-content/themes/fictional-university-theme/single-event.php on line 40
[21-Feb-2023 01:14:38 UTC] PHP Notice:  Function is_main_query was called <strong>incorrectly</strong>. In <code>pre_get_posts</code>, use the <code>WP_Query->is_main_query()</code> method, not the <code>is_main_query()</code> function. See https://developer.wordpress.org/reference/functions/is_main_query/. Please see <a href="https://wordpress.org/support/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.7.0.) in /Applications/XAMPP/xamppfiles/htdocs/fictional-university/wp-includes/functions.php on line 5835
[21-Feb-2023 01:15:37 UTC] PHP Notice:  Function is_main_query was called <strong>incorrectly</strong>. In <code>pre_get_posts</code>, use the <code>WP_Query->is_main_query()</code> method, not the <code>is_main_query()</code> function. See https://developer.wordpress.org/reference/functions/is_main_query/. Please see <a href="https://wordpress.org/support/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.7.0.) in /Applications/XAMPP/xamppfiles/htdocs/fictional-university/wp-includes/functions.php on line 5835
[21-Feb-2023 01:23:24 UTC] PHP Parse error:  syntax error, unexpected token "while", expecting "," or ";" in /Applications/XAMPP/xamppfiles/htdocs/fictional-university/wp-content/themes/fictional-university-theme/single-program.php on line 59
[21-Feb-2023 01:30:27 UTC] PHP Notice:  Function is_main_query was called <strong>incorrectly</strong>. In <code>pre_get_posts</code>, use the <code>WP_Query->is_main_query()</code> method, not the <code>is_main_query()</code> function. See https://developer.wordpress.org/reference/functions/is_main_query/. Please see <a href="https://wordpress.org/support/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.7.0.) in /Applications/XAMPP/xamppfiles/htdocs/fictional-university/wp-includes/functions.php on line 5835
